"","Genes","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","CRYAB",0,7.89273240434228,0.983,0.045,0
"2","S100B",0,6.81066657557763,0.88,0.018,0
"3","CLU",0,6.0543241543785,0.922,0.085,0
"4","PLP1",0,7.51911356090565,0.84,0.012,0
"5","IGFBP7",0,3.97954364521749,0.973,0.153,0
"6","GPM6B",0,6.71561513645273,0.867,0.049,0
"7","PMP22",0,5.26560272087445,0.926,0.131,0
"8","LGI4",0,7.9597563168675,0.781,0.015,0
"9","SPARC",0,3.54242372727148,0.948,0.187,0
"10","CD9",0,4.60191960605754,0.95,0.227,0
"11","NRXN1",0,7.8806291200783,0.715,0.009,0
"12","TMEM176B",0,3.7633913902928,0.895,0.191,0
"13","FXYD1",0,5.67937116756871,0.774,0.073,0
"14","ALDH1A1",0,5.43568909515517,0.8,0.105,0
"15","PRNP",0,4.90074065958777,0.853,0.16,0
"16","SEMA3B",0,5.93128761103477,0.726,0.047,0
"17","MATN2",0,5.69945865923162,0.724,0.051,0
"18","MPZ",0,7.37065905560608,0.682,0.011,0
"19","CNN3",0,3.98501861181142,0.826,0.18,0
"20","SPP1",0,7.43322301373007,0.649,0.006,0
"21","DKK3",0,5.55444735914411,0.682,0.045,0
"22","CD59",0,4.25240237271646,0.849,0.215,0
"23","TIMP3",0,3.85622738953149,0.739,0.105,0
"24","CDH19",0,7.86339475066026,0.633,0.007,0
"25","SPARCL1",0,3.31293568572776,0.74,0.128,0
"26","MYOT",0,11.2221414135213,0.601,0.001,0
"27","LGALS1",0,2.84285400523291,0.979,0.381,0
"28","GSN",0,2.90319382351011,0.778,0.183,0
"29","TMEM176A",0,3.41006535753994,0.765,0.174,0
"30","SCN7A",0,7.63108066130686,0.594,0.012,0
"31","IFITM3",0,2.77988024355905,0.913,0.333,0
"32","COL1A2",0,1.35376813828268,0.716,0.163,0
"33","ANXA2",0,3.27458483840344,0.911,0.359,0
"34","MT2A",0,2.45572909844289,0.858,0.306,0
"35","GFRA3",0,8.93872679127283,0.547,0.003,0
"36","SORBS2",0,5.50313580961853,0.581,0.043,0
"37","AP1S2",0,3.42060704805084,0.689,0.162,0
"38","PMEPA1",0,4.86831840595227,0.583,0.065,0
"39","CCL2",0,4.64913420319076,0.603,0.086,0
"40","TUBA1A",0,2.88465622411939,0.889,0.376,0
"41","CST3",0,1.79045539595105,0.865,0.354,0
"42","S100A4",0,2.58580034979945,0.889,0.384,0
"43","EEF1B2",0,-2.49140734306476,0.352,0.856,0
"44","SERPING1",0,3.63577210783087,0.593,0.091,0
"45","ANXA1",0,2.53997559202791,0.754,0.261,0
"46","NNMT",0,4.19255638501792,0.535,0.044,0
"47","TSPAN11",0,7.2637098696005,0.499,0.009,0
"48","COMT",0,3.57411460145154,0.693,0.204,0
"49","COL18A1",0,4.11108226127765,0.551,0.069,0
"50","GPX3",0,4.14505631304635,0.53,0.052,0
"51","ARHGDIB",0,-5.01627947880213,0.031,0.505,0
"52","NTM",0,6.15313721836615,0.49,0.018,0
"53","GPR155",0,4.75758557821383,0.517,0.047,0
"54","RHOC",0,2.6919181095373,0.744,0.279,0
"55","MARCKS",0,2.69416932810567,0.724,0.259,0
"56","NRN1",0,6.75744812185692,0.475,0.011,0
"57","DST",0,3.64098813650401,0.596,0.134,0
"58","MAL",0,4.10328219575463,0.514,0.053,0
"59","NDRG2",0,4.41966947667873,0.546,0.088,0
"60","SH3BGRL3",0,-2.39289389590044,0.264,0.721,0
"61","RGS16",0,4.69771440889165,0.511,0.058,0
"62","TUBB2B",0,4.3075610128741,0.486,0.041,0
"63","ARHGAP15",0,2.91912007207006,0.642,0.201,0
"64","CD52",0,-5.09780949080473,0.026,0.463,0
"65","FBLN2",0,5.29691934118716,0.46,0.025,0
"66","ANXA5",0,2.65487080831794,0.748,0.316,0
"67","RARRES2",0,2.12855228447758,0.596,0.165,0
"68","LGALS3BP",0,2.9408532694343,0.611,0.188,0
"69","L1CAM",0,7.35329193776135,0.429,0.006,0
"70","MT1E",0,1.90197389183318,0.576,0.154,0
"71","IFI27",0,2.07232182844656,0.565,0.144,0
"72","CORO1A",0,-5.88128054956312,0.012,0.428,0
"73","EMP2",0,3.26800618396799,0.544,0.133,0
"74","PABPC1",0,-1.78704842996638,0.396,0.806,0
"75","HES1",0,2.69439252054272,0.613,0.207,0
"76","ANK3",0,4.77459475414927,0.458,0.055,0
"77","PDLIM4",0,4.33241092764827,0.462,0.06,0
"78","S100A10",0,1.93204397997949,0.948,0.546,0
"79","RASSF4",0,5.0441788469539,0.431,0.031,0
"80","C1R",0,3.0132135039119,0.475,0.079,0
"81","MT-ATP8",0,-3.67970324953803,0.061,0.456,0
"82","LAPTM5",0,-5.75700271449925,0.016,0.411,0
"83","RAC2",0,-6.04558945078154,0.01,0.404,0
"84","CD37",0,-5.99252726547796,0.014,0.408,0
"85","SGCE",0,3.83231481056191,0.464,0.073,0
"86","XKR4",0,8.62585302930523,0.391,0.003,0
"87","PTPRC",0,-6.36025151465164,0.008,0.393,0
"88","C1S",0,2.52092668462398,0.48,0.096,0
"89","RCAN1",0,5.21780854384193,0.436,0.054,0
"90","COL1A1",0,0.303330109663556,0.541,0.16,0
"91","MIA",0,7.68245853325539,0.386,0.005,0
"92","CADM3",0,6.85971398962047,0.386,0.007,0
"93","PFDN5",0,-1.37121488239795,0.479,0.858,0
"94","CLIC4",0,3.53039131454952,0.491,0.114,0
"95","RHOB",0,2.25028611803037,0.652,0.277,0
"96","RDX",0,3.27691459476362,0.515,0.14,0
"97","PLAT",0,2.26762223801544,0.462,0.092,0
"98","PSAP",0,2.32416910308274,0.783,0.414,0
"99","CTNNAL1",0,4.31758694058015,0.437,0.068,0
"100","ID3",0,2.13344395689656,0.673,0.305,0
"101","RPL4",0,-1.69549566228694,0.499,0.867,0
"102","SRGN",0,-3.65958457129761,0.097,0.464,0
"103","CBR1",0,3.37561081016821,0.502,0.136,0
"104","SLC25A6",0,-1.2997241168732,0.418,0.779,0
"105","S100A6",0,2.07700423601636,0.99,0.629,0
"106","COL28A1",0,7.84712352393229,0.363,0.003,0
"107","CXCR4",0,-4.36824421045925,0.039,0.398,0
"108","VIM",0,2.01110093682517,0.982,0.623,0
"109","CD69",0,-4.57901013991263,0.031,0.389,0
"110","GAS7",0,4.70813403430831,0.388,0.03,0
"111","PHLDA3",0,4.97102095049156,0.388,0.031,0
"112","GYPC",0,-4.2824333876637,0.02,0.377,0
"113","OLFML2A",0,5.88881527645867,0.372,0.015,0
"114","TPPP3",0,5.51774035086541,0.386,0.031,0
"115","FEZ1",0,4.7217843762849,0.387,0.033,0
"116","LMNA",0,1.97083586912641,0.683,0.33,0
"117","PLEKHB1",0,5.17979824217988,0.375,0.023,0
"118","PRSS23",0,3.19856663262104,0.418,0.066,0
"119","HSPG2",0,3.49641139464499,0.413,0.063,0
"120","SCCPDH",0,3.67451021226026,0.457,0.109,0
"121","SLITRK6",0,4.24851833656835,0.388,0.04,0
"122","COL8A1",0,6.97261894275051,0.354,0.006,0
"123","NGFR",0,6.22479036734632,0.359,0.011,0
"124","LSP1",0,-4.53944085576203,0.021,0.368,0
"125","ASPA",0,6.27626307033955,0.357,0.01,0
"126","APP",0,2.26735435010456,0.592,0.245,0
"127","SNCA",0,4.97820513837029,0.372,0.026,0
"128","MYL9",0,1.29584092761308,0.488,0.143,0
"129","FIBIN",0,3.64496961155235,0.384,0.04,0
"130","LTBP4",0,2.23107804616841,0.519,0.176,0
"131","COL9A3",0,4.57187460814742,0.38,0.037,0
"132","ERBB3",0,3.82096933853694,0.419,0.076,0
"133","RPS21",0,-2.08607176549446,0.556,0.899,0
"134","IER3",0,2.35233876607903,0.524,0.183,0
"135","CADM1",0,4.32126163048593,0.388,0.047,0
"136","PEBP1",0,2.37327713564858,0.825,0.484,0
"137","CNP",0,3.78374143908969,0.428,0.087,0
"138","EVL",0,-3.63310364523445,0.04,0.38,0
"139","FSTL3",0,5.54384875400496,0.366,0.026,0
"140","CD63",0,1.5367460453677,0.843,0.504,0
"141","EIF3H",0,-1.35230975366015,0.222,0.559,0
"142","ANP32B",0,-1.71343286309318,0.139,0.475,0
"143","PCSK2",0,8.66511257463385,0.337,0.003,0
"144","MXRA8",0,3.23583866356803,0.42,0.087,0
"145","CRIP2",0,2.66782352774983,0.416,0.083,0
"146","VAMP5",0,2.72620094896059,0.503,0.174,0
"147","IFITM1",0,-5.96148047765751,0.017,0.346,0
"148","CD48",0,-5.13333359853721,0.01,0.338,0
"149","LTB",0,-5.48166996268526,0.017,0.345,0
"150","PCDH9",0,4.43009519943595,0.363,0.035,0
"151","RPSA",0,-1.88589254707482,0.551,0.878,0
"152","ECM1",0,3.93355917671049,0.36,0.038,0
"153","VAMP8",0,-3.67860802986591,0.026,0.348,0
"154","MT-ND4L",0,-2.58910603082317,0.354,0.675,0
"155","PDK4",0,3.99080967658951,0.378,0.057,0
"156","FSTL1",0,2.37820796227135,0.441,0.121,0
"157","CADM2",0,7.63898139539701,0.323,0.005,0
"158","ABCA8",0,3.24411943193602,0.348,0.03,0
"159","CYTIP",0,-5.60020453246265,0.008,0.324,0
"160","HSPB1",0,1.43357258311937,0.769,0.453,0
"161","FGL2",0,3.88513560911304,0.367,0.051,0
"162","HSPA1A",0,1.11546590971884,0.693,0.377,0
"163","TSPAN15",0,4.33713919600792,0.369,0.054,0
"164","SMIM5",0,6.06654752256824,0.326,0.011,0
"165","RNASET2",0,-3.53321415885202,0.028,0.342,0
"166","RPS4Y1",0,-2.44356008209665,0.085,0.398,0
"167","STK17B",0,-4.78479449549779,0.014,0.326,0
"168","EGR1",0,1.78561858680131,0.61,0.298,0
"169","NPM1",0,-1.35921440022148,0.482,0.793,0
"170","TAX1BP3",0,3.02362334315841,0.456,0.145,0
"171","ADIRF",0,2.49959208261668,0.415,0.104,0
"172","IL2RG",0,-5.41583040373214,0.008,0.318,0
"173","EPB41L2",0,3.12973699193086,0.413,0.106,0
"174","SLC22A17",0,4.74084002964463,0.34,0.034,0
"175","SAMHD1",0,2.53538033648294,0.434,0.128,0
"176","COX7C",0,-1.10592343307744,0.492,0.797,0
"177","TNFAIP6",0,4.98535402144589,0.324,0.02,0
"178","CTNNA1",0,2.80633130027204,0.468,0.166,0
"179","CSRP1",0,2.57487093829462,0.452,0.151,0
"180","CD151",0,2.36743476250744,0.515,0.214,0
"181","MAP1B",0,3.11641030302468,0.358,0.06,0
"182","HLA-DRA",0,1.00379324000891,0.584,0.286,0
"183","EEF1D",0,-1.12673821433463,0.591,0.883,0
"184","SPTBN1",0,2.42341536547314,0.49,0.199,0
"185","S100A11",0,1.59699773982095,0.75,0.46,0
"186","KCNMB4",0,5.83023745284469,0.304,0.014,0
"187","LAPTM4A",0,1.456239495746,0.708,0.419,0
"188","NCAM1",0,3.72927901952226,0.339,0.051,0
"189","COL4A1",0,2.44153182324189,0.372,0.084,0
"190","NLGN4X",0,5.40877928154949,0.305,0.017,0
"191","CNN2",0,-3.98690047970396,0.025,0.312,0
"192","VWA1",0,3.96574324347419,0.334,0.049,0
"193","HLA-DRB1",0,1.28351308229475,0.581,0.296,0
"194","RPL23",0,-1.21445995426744,0.501,0.785,0
"195","SEMA6D",0,4.83391847754942,0.312,0.03,0
"196","SOX10",0,6.6112194860623,0.287,0.005,0
"197","RPL36A",0,-1.18241908929026,0.507,0.787,0
"198","RPL37",0,-2.13004616430272,0.668,0.947,0
"199","S100A16",0,2.32543048097959,0.423,0.145,0
"200","LAMP2",0,2.94850438652644,0.419,0.141,0
"201","CAB39L",0,5.7887055241714,0.293,0.015,0
"202","SOX4",0,1.80768304146644,0.509,0.232,0
"203","TIMP1",0,1.33995351234933,0.593,0.316,0
"204","HNRNPA1",0,-1.33026122117969,0.539,0.816,0
"205","ITGB1",0,1.92047312457612,0.556,0.282,0
"206","PLK2",0,2.79186452936145,0.37,0.098,0
"207","NRXN3",0,6.33096352076739,0.28,0.008,0
"208","RPLP0",0,-1.9275043631163,0.67,0.942,0
"209","HLA-DRB5",0,1.92231685822596,0.438,0.167,0
"210","GULP1",0,3.56353101243617,0.329,0.059,0
"211","TUBA1B",0,1.4897475777733,0.78,0.511,0
"212","RPL5",0,-1.84729624782852,0.655,0.922,0
"213","EGFL8",0,5.92350938752398,0.277,0.01,0
"214","SEMA3C",0,4.66317693908619,0.3,0.033,0
"215","FBLN5",0,3.08047964661555,0.335,0.07,0
"216","COL3A1",0,-0.214340967280083,0.433,0.169,0
"217","CHL1",0,4.86308779929899,0.281,0.017,0
"218","CALM2",0,2.39965462377844,0.94,0.676,0
"219","POLR2F",0,2.37355200259786,0.525,0.263,0
"220","RPL22",0,-1.40489273230181,0.645,0.905,0
"221","ITPR1",0,3.05244611544357,0.326,0.066,0
"222","SOCS3",0,2.02589968763923,0.501,0.241,0
"223","HSPB2",0,5.49902556476339,0.271,0.014,0
"224","HSPA2",0,3.14791297725792,0.32,0.064,0
"225","FADS3",0,3.56396447402106,0.309,0.054,0
"226","PHLDA1",0,2.08790621029121,0.411,0.156,0
"227","LAMP1",0,2.15124784826491,0.523,0.268,0
"228","HAND2-AS1",0,4.53143895128161,0.274,0.02,0
"229","EMP1",0,3.00573349824902,0.316,0.062,0
"230","TUBB2A",0,2.57692771274369,0.373,0.121,0
"231","EID1",0,1.73722771851032,0.701,0.449,0
"232","ABL2",0,3.77642204524824,0.302,0.051,0
"233","FCGR2B",0,3.92086177684195,0.296,0.046,0
"234","SOX2",0,6.38109148323196,0.256,0.006,0
"235","PAPPA",0,5.52312431352334,0.261,0.011,0
"236","ATF3",0,1.87035926173639,0.449,0.2,0
"237","PLAC9",0,2.59235765691671,0.315,0.066,0
"238","PGRMC1",0,2.18678350747848,0.451,0.203,0
"239","RPS5",0,-1.69873541157542,0.688,0.934,0
"240","GNG11",0,1.72561260129994,0.337,0.091,0
"241","GPNMB",0,4.38288740482645,0.261,0.015,0
"242","S100A13",0,2.12040592878466,0.423,0.178,0
"243","AEBP1",0,2.94345728407429,0.306,0.062,0
"244","PRIMA1",0,6.76563879983256,0.249,0.005,0
"245","TIMP4",0,7.48172168938693,0.246,0.004,0
"246","ARL2",0,2.51902052156389,0.41,0.169,0
"247","GATM",0,4.04221810387248,0.283,0.042,0
"248","LRRTM1",0,7.14387399002121,0.244,0.005,0
"249","C1orf198",0,4.32004613109474,0.273,0.037,0
"250","FST",0,3.73994120547753,0.267,0.031,0
"251","IL11RA",0,3.69995280283143,0.288,0.052,0
"252","ZEB2",0,1.69690469885293,0.398,0.163,0
"253","DHRS3",0,3.31896364954101,0.314,0.079,0
"254","IFIT3",0,4.20530284888507,0.268,0.034,0
"255","ZBTB20",0,2.27689393266579,0.394,0.161,0
"256","PLSCR4",0,4.1161537054453,0.266,0.033,0
"257","NACA",0,-1.24237079807897,0.671,0.903,0
"258","CADM4",0,5.68770343912561,0.245,0.013,0
"259","SORCS1",0,6.14075911761971,0.239,0.008,0
"260","CAPS",0,5.35185563344566,0.251,0.021,0
"261","TMEM47",0,4.48837108556231,0.254,0.024,0
"262","PDPN",0,3.98345937804982,0.257,0.029,0
"263","RPS24",0,-1.83544535287503,0.73,0.958,0
"264","GBP2",0,2.36082589586381,0.361,0.134,0
"265","ARHGAP24",0,2.70569669995746,0.3,0.073,0
"266","AXL",0,3.44318518982756,0.27,0.044,0
"267","UBA52",0,-1.13504338269009,0.686,0.912,0
"268","RPS11",0,-1.08584578511868,0.664,0.89,0
"269","CTSD",0,1.74821714217558,0.51,0.286,0
"270","ARPC1B",0,1.26751100579562,0.662,0.439,0
"271","SERPINA5",0,8.51001662008525,0.226,0.003,0
"272","AHR",0,2.58098238918899,0.306,0.087,0
"273","ITGB4",0,3.8927062303103,0.26,0.041,0
"274","ASPH",0,2.94057110103993,0.316,0.098,0
"275","TMEM71",0,3.59909143952924,0.253,0.035,0
"276","TFAP2A",0,6.89011555235239,0.22,0.003,0
"277","ATP6AP2",0,1.94375918098779,0.483,0.266,0
"278","RPL7A",0,-1.69334717519084,0.733,0.949,0
"279","RPL24",0,-1.21132280784327,0.711,0.926,0
"280","DYNLL1",0,1.39724630106665,0.786,0.571,0
"281","TMOD2",0,4.42758335095287,0.237,0.022,0
"282","WSB1",0,1.65259397754175,0.625,0.411,0
"283","SCN9A",0,4.82932498901047,0.231,0.018,0
"284","DAG1",0,3.95444294846306,0.256,0.044,0
"285","KLF4",0,1.83710353106438,0.386,0.174,0
"286","TTYH1",0,4.89362207132328,0.225,0.013,0
"287","MT1M",0,2.4454410766107,0.261,0.051,0
"288","SYPL1",0,1.78815979419832,0.479,0.269,0
"289","ITGB1BP1",0,2.33487390033247,0.37,0.161,0
"290","RPL29",0,-1.72305492315803,0.752,0.961,0
"291","RPL12",0,-1.75680974316087,0.76,0.969,0
"292","RPL6",0,-1.61225422786862,0.738,0.947,0
"293","ANK2",0,4.21826024557652,0.237,0.029,0
"294","HAND2",0,4.29875127989425,0.232,0.025,0
"295","PON2",0,2.92833640192275,0.31,0.103,0
"296","FRMD4A",0,3.76924715357381,0.25,0.044,0
"297","TNFRSF12A",0,3.42341104077096,0.267,0.061,0
"298","TTLL7",0,4.04504579695548,0.237,0.031,0
"299","CMTM5",0,6.06680724988485,0.212,0.006,0
"300","SBDS",0,1.7214180626703,0.534,0.329,0
"301","NUPR1",0,1.63935105142195,0.347,0.142,0
"302","EHBP1",0,3.38935584868125,0.261,0.057,0
"303","MRGPRF",0,4.15479950628159,0.23,0.026,0
"304","RHEB",0,1.95460271625802,0.48,0.276,0
"305","IFI35",0,2.57982098355241,0.333,0.131,0
"306","MAP4",0,2.34388253536766,0.349,0.147,0
"307","HSPA12A",0,4.60626940032756,0.222,0.021,0
"308","COL4A2",0,1.87706343150598,0.312,0.111,0
"309","DYNLRB1",0,1.86420625176993,0.515,0.316,0
"310","RAC1",0,1.25292161850151,0.686,0.488,0
"311","SGCB",0,3.18973578517222,0.267,0.069,0
"312","MCAM",0,2.88911488790271,0.241,0.043,0
"313","RTN4",0,1.58432556443313,0.548,0.351,0
"314","RPS29",0,-1.57564751514021,0.712,0.909,0
"315","PDGFA",0,3.80019326674969,0.245,0.048,0
"316","RPL36",0,-1.51281222740663,0.752,0.949,0
"317","DOCK5",0,3.89355600658686,0.238,0.043,0
"318","GABARAPL2",0,1.6013216300836,0.603,0.408,0
"319","RPS16",0,-1.41524374694718,0.754,0.949,0
"320","RPL18",0,-1.65374130578457,0.767,0.962,0
"321","JUN",0,1.36565925489663,0.889,0.695,0
"322","DPYSL2",0,2.6918486278412,0.278,0.084,0
"323","RPL14",0,-1.46805157038749,0.758,0.952,0
"324","RXRG",0,6.68209091168289,0.196,0.003,0
"325","COL15A1",0,3.03824030376789,0.224,0.031,0
"326","CTSF",0,3.20720863465622,0.252,0.06,0
"327","RPL27",0,-0.953229507607043,0.699,0.89,0
"328","ABI3BP",0,3.56329084279024,0.225,0.034,0
"329","FGFBP2",0,2.76322445723798,0.211,0.02,0
"330","IGFBP6",0,2.33334559568573,0.246,0.055,0
"331","TMBIM4",0,1.6988046459258,0.533,0.342,0
"332","PTPRZ1",0,5.14209111285302,0.197,0.007,0
"333","SLC15A3",0,4.09236637272381,0.213,0.023,0
"334","CDC42EP1",0,2.86900938420918,0.276,0.087,0
"335","FOXD3",0,6.93355173402506,0.191,0.003,0
"336","S100A1",0,8.0136905453463,0.191,0.003,0
"337","ENDOD1",0,3.45359092405792,0.243,0.055,0
"338","PDGFB",0,5.13276207554168,0.199,0.011,0
"339","QKI",0,2.55331919478385,0.274,0.087,0
"340","IFI6",0,2.54598879413754,0.323,0.136,0
"341","DUSP6",0,2.28340029778068,0.285,0.098,0
"342","RPL30",0,-2.04048525250219,0.772,0.959,0
"343","GPC1",0,3.90187280965547,0.214,0.03,0
"344","COL21A1",0,3.74109928260904,0.209,0.025,0
"345","SHC4",0,7.00311552323976,0.187,0.003,0
"346","ITM2B",0,1.42948968250753,0.876,0.693,0
"347","ZFYVE21",0,2.77289502207109,0.285,0.102,0
"348","PPP1R12B",0,3.00303389731829,0.242,0.06,0
"349","CTSL",0,2.05515971647458,0.287,0.105,0
"350","DMD",0,3.75183901819256,0.217,0.036,0
"351","RPL39",0,-2.09476828985682,0.753,0.933,0
"352","CYTL1",0,4.00277055146097,0.208,0.028,0
"353","KCTD12",0,2.50983803070332,0.255,0.075,0
"354","KCNS3",0,4.17051850022826,0.201,0.023,0
"355","BPGM",0,3.34526764317739,0.224,0.046,0
"356","GFRA2",0,4.79967953588008,0.19,0.012,0
"357","RPS12",0,-2.36810421894199,0.799,0.977,0
"358","RPL31",0,-1.20193260916303,0.713,0.89,0
"359","C2orf88",0,3.4033561718273,0.221,0.044,0
"360","ANGPTL4",0,3.44847820498851,0.208,0.031,0
"361","ITGA1",0,2.13240171457346,0.261,0.085,0
"362","GAPDH",0,-1.14254306696631,0.696,0.871,0
"363","FIGN",0,5.08546854365859,0.188,0.013,0
"364","ART3",0,8.12814262049264,0.177,0.002,0
"365","RPS7",0,-1.6011280597024,0.775,0.95,0
"366","PLEKHA5",0,2.74958789204319,0.268,0.094,0
"367","KLF9",0,2.44750230095502,0.254,0.08,0
"368","SBSPON",0,4.79837637864617,0.183,0.012,0
"369","RPS3",0,-2.01047268683519,0.799,0.97,0
"370","RPS9",0,-1.27809300460424,0.781,0.952,0
"371","NES",0,3.34037718006221,0.21,0.04,0
"372","PHLDB1",0,3.32922810811577,0.217,0.047,0
"373","RPL28",0,-2.05585505631815,0.809,0.979,0
"374","DLC1",0,2.6805869458543,0.228,0.059,0
"375","TPT1",0,-1.84882787413846,0.806,0.975,0
"376","SSPN",0,3.15391310226386,0.22,0.052,0
"377","RPL10A",0,-1.27112090022238,0.765,0.932,0
"378","RPL8",0,-1.65085839680758,0.8,0.967,0
"379","FERMT2",0,2.43658221888563,0.242,0.076,0
"380","FAM210B",0,2.91744123527991,0.241,0.075,0
"381","RPS8",0,-2.06994990453727,0.806,0.972,0
"382","CDH2",0,4.28624265623363,0.185,0.02,0
"383","PCBP4",0,3.29915229233942,0.207,0.042,0
"384","FAU",0,-1.23546727748031,0.789,0.954,0
"385","ST3GAL4",0,2.96008981489948,0.217,0.053,0
"386","RPS3A",0,-2.00379198563615,0.803,0.966,0
"387","SOD1",0,1.41424556004812,0.698,0.535,0
"388","SOX6",0,3.30994370124898,0.197,0.035,0
"389","TMEM59L",0,5.21161800560856,0.17,0.008,0
"390","RPS23",0,-1.84926109174632,0.805,0.967,0
"391","RPS13",0,-1.67490482088831,0.792,0.954,0
"392","ID4",0,2.62675478554627,0.218,0.057,0
"393","SLC35F1",0,5.68673784433479,0.167,0.006,0
"394","RPL26",0,-1.56780421159799,0.794,0.955,0
"395","SIPA1L2",0,3.63833228016693,0.2,0.04,0
"396","ASAP2",0,4.01955915452948,0.196,0.036,0
"397","MOXD1",0,3.73017277711286,0.186,0.027,0
"398","METRN",0,3.2747195106273,0.201,0.042,0
"399","CYP27A1",0,3.49126255719852,0.206,0.047,0
"400","MGAT4C",0,8.86581514628796,0.159,0.001,0
"401","CYBRD1",0,2.70536387582018,0.206,0.048,0
"402","ALCAM",0,3.45074163681617,0.196,0.039,0
"403","SH3BGR",0,5.81358780768743,0.165,0.008,0
"404","ARMCX1",0,2.99122682898777,0.218,0.062,0
"405","TBX3",0,2.85067164247844,0.201,0.046,0
"406","SCD",0,3.62947685568577,0.194,0.039,0
"407","STARD13",0,4.2141555583597,0.18,0.025,0
"408","RNASE4",0,3.38419677073804,0.198,0.044,0
"409","FOS",0,1.3679353552733,0.872,0.718,0
"410","RGS3",0,2.54072021285844,0.229,0.076,0
"411","AK1",0,2.9973127254994,0.202,0.05,0
"412","INSC",0,4.26872569417687,0.166,0.014,0
"413","TMEM59",0,1.19541641054717,0.67,0.52,0
"414","RPS6",0,-1.82503053308845,0.818,0.968,0
"415","SFRP1",0,1.93478852427184,0.194,0.045,0
"416","TTR",0,1.43242823606234,0.193,0.046,0
"417","ZNF536",0,4.37682352024349,0.161,0.014,0
"418","MICALL2",0,2.83486674454597,0.189,0.043,0
"419","LRRC4C",0,4.56823317688664,0.159,0.013,0
"420","SYNGR1",0,2.66110420930546,0.207,0.061,0
"421","RERG",0,3.81446577926471,0.166,0.021,0
"422","EDNRB",0,2.38539802282229,0.189,0.044,0
"423","PROS1",0,3.09009668082493,0.187,0.042,0
"424","RPS25",0,-1.34755312361104,0.809,0.954,0
"425","RPS19",0,-1.88087959882335,0.833,0.977,0
"426","RRAS",0,2.76945953602136,0.206,0.062,0
"427","RPL19",0,-1.71409382196448,0.829,0.971,0
"428","SYT11",0,3.2729515366016,0.171,0.03,0
"429","MORF4L1",0,1.26397909542957,0.671,0.53,0
"430","COL16A1",0,2.93809821384804,0.183,0.042,0
"431","ST3GAL6",0,4.55318318815411,0.155,0.015,0
"432","RPS4X",0,-1.63120346135275,0.823,0.962,0
"433","RPL9",0,-1.25529382367515,0.812,0.949,0
"434","LPAR1",0,3.61327508233161,0.166,0.03,0
"435","LINC00632",0,4.27856993687604,0.152,0.016,0
"436","LOXL3",0,5.08523763934952,0.143,0.008,0
"437","RPS2",0,-1.63144730171607,0.827,0.961,0
"438","SDC3",0,3.8590733998284,0.154,0.021,0
"439","TNC",0,3.07406896466398,0.154,0.021,0
"440","RPL37A",0,-0.951866749336414,0.799,0.931,0
"441","B4GALNT1",0,6.52979047185897,0.134,0.002,0
"442","CHN1",0,3.18697649074317,0.159,0.028,0
"443","TENM3",0,4.18163852936321,0.148,0.018,0
"444","SCARA3",0,4.24100305708052,0.146,0.018,0
"445","IFIT2",0,3.20419982453888,0.157,0.029,0
"446","ARHGEF10",0,3.81152321014764,0.148,0.021,0
"447","SYNM",0,3.77706939533952,0.146,0.019,0
"448","RPL11",0,-1.68574239501012,0.85,0.976,0
"449","EPDR1",0,4.88148361504185,0.136,0.01,0
"450","COL5A3",0,4.35891836495763,0.135,0.01,0
"451","CASC15",0,3.82460213344592,0.144,0.019,0
"452","KCTD1",0,4.74000878626964,0.138,0.014,0
"453","CREB5",0,2.98683916921691,0.16,0.036,0
"454","RPS15A",0,-1.80603551535769,0.847,0.971,0
"455","RPL18A",0,-1.71627854955489,0.849,0.973,0
"456","PMP2",0,9.05554121068556,0.123,0,0
"457","ITIH5",0,3.08225369833555,0.15,0.028,0
"458","AFAP1L2",0,3.38446775113181,0.146,0.024,0
"459","APCDD1",0,4.14868380619014,0.137,0.016,0
"460","ATP1A2",0,5.32484517607906,0.127,0.006,0
"461","FADS1",0,3.01459243848281,0.16,0.039,0
"462","ITGB8",0,4.30357710025785,0.141,0.02,0
"463","ANGPTL7",0,9.94514036176675,0.117,0,0
"464","RPL23A",0,-1.20211232445121,0.831,0.948,0
"465","NPTX2",0,4.49028479935501,0.125,0.009,0
"466","RPS27A",0,-1.76405234646166,0.855,0.97,0
"467","RPS28",0,-1.44724080902937,0.853,0.968,0
"468","WDR86",0,3.92472159635227,0.131,0.017,0
"469","FRMD6",0,3.66629305103589,0.134,0.021,0
"470","LINC00511",0,2.84733363625525,0.141,0.028,0
"471","AASS",0,3.37627884807192,0.135,0.024,0
"472","MAMDC2",0,4.10645596981843,0.121,0.011,0
"473","SHISA4",0,3.54184907573538,0.129,0.021,0
"474","CLDN11",0,5.48922572579266,0.112,0.005,0
"475","NCAM2",0,5.37027013912875,0.112,0.005,0
"476","SLC16A4",0,4.22079964768872,0.12,0.014,0
"477","DEPDC7",0,4.67721910068713,0.118,0.012,0
"478","RPL34",0,-1.62359181118212,0.864,0.97,0
"479","SKP1",0,1.09671683805187,0.749,0.643,0
"480","RGS11",0,5.41004953890903,0.109,0.004,0
"481","NTN4",0,4.01824158699362,0.121,0.017,0
"482","RPL15",0,-1.22003984972643,0.852,0.956,0
