"","Genes","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"8384","AKR1B1",1.79054761795566e-05,0.736581953220693,0.191,0.178,0.288367693871759
"8385","OR2A1-AS1",1.82869964738361e-05,1.85340625610567,0.015,0.008,0.294512078211131
"8386","TRO",1.83715654678233e-05,-0.508372257765225,0.007,0.016,0.295874061859294
"8387","AUP1",1.84409590514656e-05,0.295665934932621,0.25,0.316,0.296991645523854
"8388","GABARAPL1",1.8478309174361e-05,0.134685322622018,0.106,0.134,0.297593169253084
"8389","PSME1",1.85033731045171e-05,0.117437015227404,0.47,0.595,0.297996823848248
"8390","PEG10",1.87070432920844e-05,0.271717989301281,0.04,0.057,0.30127693221902
"8391","ANKRD36C",1.88303775802106e-05,0.171970555270121,0.065,0.087,0.303263230929292
"8392","TMEM30A",1.89153258863935e-05,0.912533943698602,0.144,0.129,0.304631323400368
"8393","RFX7",1.89432185522374e-05,-0.140895713682178,0.014,0.024,0.305080534783783
"8394","PPWD1",1.95980447580914e-05,0.288954787236421,0.07,0.093,0.315626510829062
"8395","STXBP3",1.98028685127509e-05,0.911606885055749,0.1,0.085,0.318925197397854
"8396","ATP2B1",1.98101359422996e-05,0.782488914044951,0.24,0.235,0.319042239350735
"8397","NOM1",1.98425830294415e-05,0.188099860182364,0.036,0.052,0.319564799689155
"8398","ANKRD6",1.98786676192747e-05,1.83164637328101,0.013,0.007,0.320145942008419
"8399","CETN2",2.00182911027594e-05,1.18357710908648,0.111,0.096,0.32239457820994
"8400","NAPB",2.0124378106522e-05,-0.189885918356081,0.012,0.022,0.324103109405537
"8401","XAB2",2.06614971879201e-05,0.323840795450203,0.065,0.087,0.332753412211454
"8402","ANAPC16",2.07422613594773e-05,0.202750609295796,0.397,0.503,0.334054119194383
"8403","CARS",2.07509595304808e-05,0.189501047700449,0.052,0.072,0.334194203238394
"8404","MRPL36",2.07786821261549e-05,0.695428365596593,0.124,0.161,0.334640675641725
"8405","APLP1",2.07847589829261e-05,-0.69038334873087,0.004,0.012,0.334738543420025
"8406","DCAF10",2.08590204617932e-05,0.294021644912288,0.06,0.081,0.33593452453718
"8407","SRRM1",2.09155827694184e-05,0.226616640211571,0.328,0.41,0.336845460501483
"8408","TVP23C",2.10641118634084e-05,-0.341822959498585,0.012,0.022,0.339237521560192
"8409","SFT2D1",2.11175093185515e-05,0.809726094094482,0.244,0.244,0.340097487575272
"8410","MTHFD1L",2.11656925373674e-05,0.352889460127794,0.017,0.029,0.340873478314302
"8411","PPP1R37",2.1211925673422e-05,0.391288417569672,0.035,0.051,0.341618062970461
"8412","MYCL",2.12524352873853e-05,-0.353388672786426,0.006,0.014,0.342270470303341
"8413","ACAT2",2.14569287050802e-05,0.486415816972933,0.074,0.099,0.345563836795316
"8414","ZNF646",2.15449383194287e-05,-0.458250797122378,0.007,0.016,0.3469812316344
"8415","RPS6KA4",2.16027440684011e-05,0.282008478112156,0.031,0.046,0.3479121932216
"8416","DLAT",2.16690111914975e-05,0.349094909248757,0.036,0.052,0.348979425239067
"8417","EXOSC7",2.17413454991269e-05,0.559908069599805,0.079,0.104,0.350144369263438
"8418","DCP1A",2.18053931300021e-05,0.384524829391612,0.084,0.11,0.351175856358684
"8419","MTHFD1",2.18659196016796e-05,0.509580320973579,0.042,0.059,0.35215063518505
"8420","CCDC121",2.18751139200485e-05,1.60942680818703,0.019,0.012,0.352298709682381
"8421","SRP19",2.20977250271203e-05,0.459329173699784,0.162,0.205,0.355883861561773
"8422","NYNRIN",2.21145960942008e-05,0.572002975352935,0.015,0.027,0.356155570097104
"8423","NEK4",2.22573735059299e-05,0.202043794139906,0.02,0.032,0.358455000313001
"8424","STMN3",2.238824503538e-05,-0.153487612541449,0.047,0.064,0.360562686294795
"8425","ARHGEF17",2.28588702822983e-05,1.35907844594641,0.034,0.024,0.368142105896415
"8426","RANBP6",2.28977239873532e-05,0.111111629336287,0.023,0.036,0.368767844816324
"8427","PKM",2.29490743707854e-05,0.104599072843831,0.35,0.429,0.369594842741499
"8428","KDM3A",2.31613084575611e-05,0.280140706851021,0.042,0.059,0.373012872709021
"8429","SLC2A6",2.3410692059883e-05,-0.356449828248863,0.015,0.027,0.377029195624415
"8430","FAXC",2.35396529214416e-05,2.04231077204706,0.013,0.007,0.379106110299818
"8431","C12orf76",2.35568799644562e-05,1.20214223025184,0.09,0.076,0.379383551827568
"8432","RBM22",2.38324162660474e-05,0.322264291794752,0.116,0.148,0.383821063964693
"8433","SNX16",2.38473221961539e-05,1.4970330356929,0.037,0.026,0.384061123969058
"8434","ASAP3",2.39653712734153e-05,0.133902251244152,0.008,0.016,0.385962304358354
